trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.5, 'e': 0.8300415167526705}",20,0,-71.21069029595716,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.8275513922024125}",20,16,6.9790036216316285,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.8250687380258053}",25,0,-100.46290214545468,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.8225935318117279}",25,0,-132.9091735259327,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.8201257512162927}",30,0,-125.89000526061785,"{0: 17, 1: 3, 2: 7, 3: 3, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.8176653739626438}",25,0,-208.30024745457098,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
68,False,"{'a': 0.5, 'e': 0.8152123778407558}",25,0,-143.74719185421483,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.8127667407072335}",25,0,-74.46727563563802,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.8103284404851119}",30,0,-94.89608232342259,"{0: 25, 1: 0, 2: 1, 3: 2, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.8078974551636565}",30,0,-193.15680325898643,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.8054737627981655}",20,0,-88.02421443390902,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.803057341509771}",25,0,-66.40935341430037,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.8006481694852418}",20,10,-100.64348147180627,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.798246224976786}",20,0,-47.14568413154518,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.7958514863018556}",20,0,-61.83206179934773,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.79346393184295}",25,0,-190.4684889663606,"{0: 13, 1: 2, 2: 4, 3: 4, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.7910835400474212}",30,0,-165.14862730233293,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.7887102894272789}",30,0,-110.5063668009901,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.7863441585589971}",20,0,-122.07080862768778,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.78398512608332}",25,0,-215.4868572360962,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 4}",1
82,False,"{'a': 0.5, 'e': 0.7816331707050701}",20,0,-96.48050920067827,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.7792882711929549}",25,0,-100.7246287788305,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.776950406379376}",20,0,-110.33652907374031,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.7746195551602378}",20,0,-54.16985791975046,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.7722956964947572}",20,0,-56.735538706587356,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.7699788094052729}",35,13,-95.10544334065403,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.767668872977057}",25,0,-74.15190023367458,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.7653658663581259}",25,0,-160.42889620278504,"{0: 11, 1: 5, 2: 5, 3: 3, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.7630697687590515}",25,5,-44.25922792265765,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.7607805594527743}",25,0,-95.39349689503099,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.7584982177744161}",30,12,-45.90060422088578,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.7562227231210928}",20,7,-53.44484100125676,"{0: 8, 1: 0, 2: 3, 3: 2, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.7539540549517295}",25,0,-42.49447664308821,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.7516921927868743}",30,18,-1.663256116848274,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
